date,id,program
11/6/2024,A18,Diesel Service Technology
11/6/2024,C1D,Health Science- Pre-Professional
11/6/2024,B34,Health Science- Pre-Professional
11/6/2024,C21,Diesel Service Technology
11/6/2024,B1C,Health Science- Pre-Professional
11/6/2024,C30,Automotive Service Technology
11/6/2024,C1F,Automotive Collision Repair Technology
11/6/2024,C18,Public Safety Criminal Justice
11/6/2024,C17,Precision Machine Metalworking Technology
11/6/2024,A32,Architecture and Engineering Design Technology
11/6/2024,A22,Welding Technology
11/6/2024,B33,Electrical Technology
11/6/2024,A17,Building Construction Technology
11/6/2024,C30,Welding Technology
11/6/2024,A1C,Public Safety Criminal Justice
11/6/2024,C36,Automotive Service Technology
11/6/2024,B38,Automotive Service Technology
11/6/2024,A05,HVAC -R and Energy Systems
11/6/2024,A05,Computer Science Software Development
11/6/2024,B18,Automotive Service Technology
11/6/2024,A1D,Media Communications and Broadcasting
11/6/2024,B2F,Automotive Service Technology
11/6/2024,B23,Precision Machine Metalworking Technology
11/6/2024,C0C,Automotive Service Technology
11/6/2024,B34,Culinary Arts
11/6/2024,B2F,Automotive Collision Repair Technology
11/6/2024,C39,Precision Machine Metalworking Technology
11/6/2024,C2B,Electrical Technology
11/6/2024,B3C,Health Science- Exercise Science
11/6/2024,B15,Electrical Technology
11/6/2024,C38,Health Science- Pre-Professional
11/6/2024,C31,Architecture and Engineering Design Technology
11/6/2024,A22,HVAC -R and Energy Systems
11/6/2024,B23,Advanced Manufacturing Technology
11/6/2024,C28,Media Communications and Broadcasting
11/6/2024,B26,Media Communications and Broadcasting
11/6/2024,A26,Building Construction Technology
11/6/2024,C21,Diesel Service Technology
11/6/2024,C21,Automotive Collision Repair Technology
11/6/2024,C31,Advanced Manufacturing Technology
11/6/2024,B35,Architecture and Engineering Design Technology
11/6/2024,B42,Public Safety Criminal Justice
11/6/2024,C2E,Veterinary Science
11/6/2024,C2E,Health Science- Pre-Professional
11/6/2024,C2E,Architecture and Engineering Design Technology
11/6/2024,A2B,Automotive Service Technology
11/6/2024,A2B,Diesel Service Technology
11/6/2024,D01,Automotive Service Technology
11/6/2024,D01,Automotive Collision Repair Technology
11/16/2024,S361,Culinary Arts
11/16/2024,S205,Culinary Arts
11/16/2024,S044,Welding Technology
11/16/2024,S020,Welding Technology
11/16/2024,S056,Welding Technology
11/16/2024,S337,Welding Technology
11/16/2024,S325,Welding Technology
11/16/2024,S299,Culinary Arts
11/16/2024,S010,HVAC -R and Energy Systems
11/16/2024,S227,Graphic Communications Digital Media
11/16/2024,S347,Welding Technology
11/16/2024,S145,Graphic Communications Digital Media
11/16/2024,S024,Graphic Communications Digital Media
11/16/2024,S247,Culinary Arts
11/16/2024,S325,Welding Technology
11/16/2024,S229,Graphic Communications Digital Media
11/16/2024,S394,Welding Technology
11/16/2024,S346,Welding Technology
11/16/2024,S359,Welding Technology
11/16/2024,S001,Welding Technology
11/16/2024,S286,Welding Technology
11/16/2024,S271,Culinary Arts
11/16/2024,S193,Welding Technology
11/16/2024,S383,Graphic Communications Digital Media
11/16/2024,S067,Culinary Arts
11/16/2024,S245,Welding Technology
11/16/2024,S028,Graphic Communications Digital Media
11/16/2024,S334,Culinary Arts
11/16/2024,S349,Welding Technology
11/16/2024,S335,Graphic Communications Digital Media
11/16/2024,S259,Culinary Arts
11/16/2024,S032,Welding Technology
11/16/2024,S213,Welding Technology
11/16/2024,S333,Welding Technology
11/16/2024,S083,Welding Technology
11/16/2024,S379,Graphic Communications Digital Media
11/16/2024,S012,Advanced Manufacturing Technology
11/16/2024,S141,Culinary Arts
11/16/2024,S165,Welding Technology
11/16/2024,S239,HVAC -R and Energy Systems
11/16/2024,S143,Electrical Technology
11/16/2024,S119,Building Construction Technology
11/16/2024,S349,Diesel Service Technology
11/16/2024,S179,Public Safety Criminal Justice
11/16/2024,S154,Public Safety Criminal Justice
11/16/2024,S305,Welding Technology
11/16/2024,S119,HVAC -R and Energy Systems
11/16/2024,S179,Public Safety Criminal Justice
11/16/2024,S119,Electrical Technology
11/16/2024,S028,Media Communications and Broadcasting
11/16/2024,S353,Culinary Arts
11/16/2024,S177,Building Construction Technology
11/16/2024,S093,Diesel Service Technology
11/16/2024,S193,Graphic Communications Digital Media
11/16/2024,S189,Building Construction Technology
11/16/2024,S052,Cyber Security
11/16/2024,S141,Veterinary Science
11/16/2024,S166,Graphic Communications Digital Media
11/16/2024,S085,Automotive Collision Repair Technology
11/16/2024,S119,Diesel Service Technology
11/16/2024,S166,Graphic Communications Digital Media
11/16/2024,S318,Culinary Arts
11/16/2024,S040,Public Safety Criminal Justice
11/16/2024,S213,Electrical Technology
11/16/2024,S188,Diesel Service Technology
11/16/2024,S333,Electrical Technology
11/16/2024,S261,Electrical Technology
11/16/2024,S273,Electrical Technology
11/16/2024,S239,Graphic Communications Digital Media
11/16/2024,S178,Graphic Communications Digital Media
11/16/2024,S176,Media Communications and Broadcasting
11/16/2024,S379,Public Safety Criminal Justice
11/16/2024,S153,Computer Science Software Development
11/16/2024,S152,Computer Science Software Development
11/16/2024,S006,Welding Technology
11/16/2024,S052,Cyber Security
11/16/2024,S265,Advanced Manufacturing Technology
11/16/2024,S188,Welding Technology
11/16/2024,S028,Computer Science Software Development
11/16/2024,S273,Advanced Manufacturing Technology
11/16/2024,S085,Welding Technology
11/16/2024,S052,Computer Science Software Development
11/16/2024,S030,Diesel Service Technology
11/16/2024,S042,Diesel Service Technology
11/16/2024,S018,Veterinary Science
11/16/2024,S054,Public Safety Criminal Justice
11/16/2024,S083,Media Communications and Broadcasting
